t_sec,motion,wp_idx,avoid,L_cmd_x,L_cmd_y,L_cmd_z,F1_cmd_x,F1_cmd_y,F1_cmd_z,F2_cmd_x,F2_cmd_y,F2_cmd_z,F1_nom_x,F1_nom_y,F1_nom_z,F2_nom_x,F2_nom_y,F2_nom_z,L_odom_x,L_odom_y,L_odom_z,F1_odom_x,F1_odom_y,F1_odom_z,F2_odom_x,F2_odom_y,F2_odom_z
1775601956.765385,1,4,1,40.000000,2.000000,-5.000000,42.000000,8.000000,-5.000000,44.000000,8.000000,-5.000000,42.000000,2.000000,-5.000000,44.000000,2.000000,-5.000000,39.232151,1.424248,-4.948028,41.241234,7.564667,-4.937508,43.202953,7.587358,-4.926083
1775601957.265673,1,5,1,40.000000,-2.000000,-5.000000,42.000000,4.000000,-5.000000,44.000000,3.700000,-5.000000,42.000000,-2.000000,-5.000000,44.000000,-2.000000,-5.000000,39.612701,1.855206,-4.996544,41.621769,8.049108,-4.985818,43.595795,8.009704,-4.983133
1775601957.765333,1,5,1,40.000000,-2.000000,-5.000000,42.000000,4.000000,-5.000000,44.000000,2.200000,-5.000000,42.000000,-2.000000,-5.000000,44.000000,-2.000000,-5.000000,39.760353,1.371826,-5.061510,41.736488,7.517278,-5.035970,43.752209,7.424108,-5.065248
1775601958.265297,1,5,1,40.000000,-2.000000,-5.000000,42.000000,4.000000,-5.000000,44.000000,0.700000,-5.000000,42.000000,-2.000000,-5.000000,44.000000,-2.000000,-5.000000,39.789795,-0.029475,-4.978526,41.713440,6.091995,-4.950083,43.785065,5.589134,-4.991416
1775601958.765344,1,5,1,40.000000,-2.000000,-5.000000,42.000000,4.000000,-5.000000,44.000000,-0.800000,-5.000000,42.000000,-2.000000,-5.000000,44.000000,-2.000000,-5.000000,39.755585,-1.243340,-4.972603,41.657162,4.829982,-4.958205,43.742264,3.420290,-4.967149
1775601959.265323,1,6,1,35.000000,0.000000,-5.000000,37.000000,4.380000,-5.000000,39.000000,3.060000,-5.000000,37.000000,0.000000,-5.000000,39.000000,0.000000,-5.000000,39.638027,-1.842663,-5.073003,41.579014,4.207110,-5.067156,43.620670,1.473108,-5.075301
1775601959.765342,1,6,1,35.000000,0.000000,-5.000000,37.000000,1.680000,-5.000000,39.000000,5.760000,-5.000000,37.000000,0.000000,-5.000000,39.000000,0.000000,-5.000000,38.563133,-1.641994,-5.079829,40.556015,4.173918,-5.080333,42.551640,0.593131,-5.200456
1775601960.267759,1,6,1,35.000000,0.000000,-5.000000,37.000000,-1.020000,-5.000000,39.000000,6.000000,-5.000000,37.000000,0.000000,-5.000000,39.000000,0.000000,-5.000000,36.740654,-0.938179,-4.976993,38.772263,3.750491,-5.033303,40.813107,1.635803,-5.085776
1775601960.765306,1,7,1,0.000000,0.000000,-5.000000,2.000000,-0.480000,-5.000000,4.000000,5.460000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,35.358398,-0.348681,-4.983254,37.322510,2.263693,-5.027426,39.494816,3.576041,-4.987890
1775601961.265406,1,7,1,0.000000,0.000000,-5.000000,2.000000,0.060000,-5.000000,4.000000,5.460000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,34.265568,-0.086708,-5.184047,36.184433,0.395193,-5.186625,38.383335,5.006370,-5.180356
